text,label
what number do i call to register,REGISTER_CALL
phone number to register my child,REGISTER_CALL
register by phone,REGISTER_CALL
sign up over the phone,REGISTER_CALL
who do i call to sign up for a programme,REGISTER_CALL
speak to someone to register,REGISTER_CALL
phone number for registrations,REGISTER_CALL
call to book a place,REGISTER_CALL
who do i call to book a slot,REGISTER_CALL
call to join holiday clubs,REGISTER_CALL
call to sign up for holiday club,REGISTER_CALL
who do i call to sign up for send support,REGISTER_CALL
phone to register for tutoring,REGISTER_CALL
registration phone number,REGISTER_CALL
office number to register interest,REGISTER_CALL
ring the office to register interest,REGISTER_CALL
who do i ring to register,REGISTER_CALL
parents phone number to register,REGISTER_CALL
call and register my interest,REGISTER_CALL
help me register over the phone,REGISTER_CALL
call to find out how to sign up,REGISTER_CALL
call to ask about joining a programme,REGISTER_CALL
who do i call to ask about signing up,REGISTER_CALL
phone number to enrol,REGISTER_CALL
call to arrange registration,REGISTER_CALL
call to register for an activity,REGISTER_CALL

what are you,ABOUT_CHATBOT
who are you,ABOUT_CHATBOT
what is this chatbot,ABOUT_CHATBOT
what is this bot,ABOUT_CHATBOT
what are you for,ABOUT_CHATBOT
what do you do,ABOUT_CHATBOT
what can you do,ABOUT_CHATBOT
what can you help me with,ABOUT_CHATBOT
how can you help me,ABOUT_CHATBOT
what can i ask you,ABOUT_CHATBOT
what kind of questions can i ask,ABOUT_CHATBOT
what is your purpose,ABOUT_CHATBOT
what is your functionality,ABOUT_CHATBOT
what are your functions,ABOUT_CHATBOT
what can this chatbot help with,ABOUT_CHATBOT
how does this chatbot work,ABOUT_CHATBOT
tell me about yourself,ABOUT_CHATBOT
tell me what you can do,ABOUT_CHATBOT
are you a real person,ABOUT_CHATBOT
are you a human,ABOUT_CHATBOT
help,ABOUT_CHATBOT
chatbot help,ABOUT_CHATBOT
bot help,ABOUT_CHATBOT

history of bf4a,HISTORY_BACKGROUND
bf4a history,HISTORY_BACKGROUND
your history,HISTORY_BACKGROUND
background of bf4a,HISTORY_BACKGROUND
bf4a background,HISTORY_BACKGROUND
how did bf4a start,HISTORY_BACKGROUND
when did bf4a start,HISTORY_BACKGROUND
when was bf4a founded,HISTORY_BACKGROUND
when were you founded,HISTORY_BACKGROUND
when did bright futures 4 all start,HISTORY_BACKGROUND
how did bright futures 4 all begin,HISTORY_BACKGROUND
where did bf4a begin,HISTORY_BACKGROUND
what is the story behind bf4a,HISTORY_BACKGROUND
tell me your history,HISTORY_BACKGROUND
tell me about your background,HISTORY_BACKGROUND
tell me about your history,HISTORY_BACKGROUND
explain your history,HISTORY_BACKGROUND
explain your background,HISTORY_BACKGROUND
who is the founder,HISTORY_BACKGROUND
who is the founder of bf4a,HISTORY_BACKGROUND
origin of bf4a,HISTORY_BACKGROUND
how long have you been running,HISTORY_BACKGROUND
when did the charity start,HISTORY_BACKGROUND
how was bf4a created,HISTORY_BACKGROUND
who invented bf4a,HISTORY_BACKGROUND
who founded bf4a,HISTORY_BACKGROUND
who is the founder,HISTORY_BACKGROUND
who started bf4a,HISTORY_BACKGROUND

register online,REGISTER_FORM
register my interest,REGISTER_FORM
how do i register,REGISTER_FORM
how can i register,REGISTER_FORM
how can i apply,REGISTER_FORM
where can i apply,REGISTER_FORM
how do i apply,REGISTER_FORM
apply,REGISTER_FORM
where can i register,REGISTER_FORM
i want to register,REGISTER_FORM
register me please,REGISTER_FORM
how to register for a program,REGISTER_FORM
register for bf4a,REGISTER_FORM
register for classes,REGISTER_FORM
register for activities,REGISTER_FORM
can i register now,REGISTER_FORM
registration form,REGISTER_FORM
open register interest form,REGISTER_FORM
send sign up form,REGISTER_FORM
online registration form,REGISTER_FORM
fill out registration form,REGISTER_FORM
sign up for a programme form,REGISTER_FORM
sign up through the form,REGISTER_FORM
apply online,REGISTER_FORM
application form,REGISTER_FORM
submit my details online,REGISTER_FORM
submit my details form,REGISTER_FORM
enquiry form,REGISTER_FORM
open enquiry form,REGISTER_FORM
enquire about a programme,REGISTER_FORM
holiday clubs registration online,REGISTER_FORM
holiday clubs sign up form,REGISTER_FORM
send support registration form,REGISTER_FORM
tutoring registration form,REGISTER_FORM
register my child online,REGISTER_FORM
parent sign up form,REGISTER_FORM
family sign up form,REGISTER_FORM
open registration form,REGISTER_FORM
open the register link,REGISTER_FORM
show interest in a specific programme form,REGISTER_FORM
register interest for a programme,REGISTER_FORM
find info,REGISTER_FORM
find information,REGISTER_FORM
find more information,REGISTER_FORM
where can i find information,REGISTER_FORM
where can i find more information,REGISTER_FORM
where can i find info,REGISTER_FORM
find programme information,REGISTER_FORM
find information about a programme,REGISTER_FORM
find info about classes,REGISTER_FORM
find info about activities,REGISTER_FORM
i need more information,REGISTER_FORM
i want more information,REGISTER_FORM
can i get more information,REGISTER_FORM
how can i get more information,REGISTER_FORM
where can i get more information,REGISTER_FORM
ask a question,REGISTER_FORM
i want to ask a question,REGISTER_FORM
where can i ask a question,REGISTER_FORM
how can i ask a question,REGISTER_FORM
ask about a programme,REGISTER_FORM
ask about classes,REGISTER_FORM
ask about activities,REGISTER_FORM
make an enquiry,REGISTER_FORM
send an enquiry,REGISTER_FORM
i want to enquire,REGISTER_FORM
how do i enquire,REGISTER_FORM
how can i enquire,REGISTER_FORM
where can i enquire,REGISTER_FORM
enquire online,REGISTER_FORM
enquire here,REGISTER_FORM
enquire about classes,REGISTER_FORM
enquire about activities,REGISTER_FORM
enquire about holiday clubs,REGISTER_FORM
enquire about tutoring,REGISTER_FORM
enquire about send support,REGISTER_FORM
contact about a programme,REGISTER_FORM
contact about classes,REGISTER_FORM
contact about activities,REGISTER_FORM
send my details,REGISTER_FORM
leave my details,REGISTER_FORM
leave an enquiry,REGISTER_FORM
submit an enquiry,REGISTER_FORM
submit a question,REGISTER_FORM
submit my question online,REGISTER_FORM
complete the enquiry form,REGISTER_FORM
complete the registration form,REGISTER_FORM
fill in the enquiry form,REGISTER_FORM
fill in the registration form,REGISTER_FORM
show me the registration form,REGISTER_FORM
show me the enquiry form,REGISTER_FORM
open the sign up form,REGISTER_FORM
open the application form,REGISTER_FORM
where is the registration form,REGISTER_FORM
where is the enquiry form,REGISTER_FORM
how do i sign up,REGISTER_FORM
how can i sign up,REGISTER_FORM
where can i sign up,REGISTER_FORM
sign me up,REGISTER_FORM
i want to sign up,REGISTER_FORM

hello,HELLO
hi,HELLO
hey,HELLO
good morning,HELLO
good afternoon,HELLO
good evening,HELLO
hello there,HELLO
hi there,HELLO
hii,HELLO
hey there,HELLO
morning,HELLO
afternoon,HELLO
evening,HELLO
how are you,HELLO

goodbye,GOODBYE
bye,GOODBYE
see you later,GOODBYE
thanks bye,GOODBYE
talk later,GOODBYE
catch you later,GOODBYE
bye bye,GOODBYE
good night,GOODBYE
thanks goodbye,GOODBYE
done now bye,GOODBYE
that is all thanks bye,GOODBYE

contact you,CONTACT_INFO
contact,CONTACT_INFO
contact details,CONTACT_INFO
get in touch,CONTACT_INFO
how can i contact you,CONTACT_INFO
how do i contact you,CONTACT_INFO
how can i get in touch,CONTACT_INFO
how do i get in touch,CONTACT_INFO
open contact page,CONTACT_INFO
take me to contact page,CONTACT_INFO
